County,Fire Name,Start,Contained,Acres,Deaths_FF,Deaths_Civil,Duration,Strux_Destr,Strux_Dmgd,Duration_Days
SHASTA,Lakehead,2008-06-21,2008-08-23,"27,936",0,0,64 days,,,64
TRINITY,"IRON COMPLEX & ALPS
COMPLEX",2008-06-21,2008-09-09,"105,805",9,0,81 days,,,81
PLUMAS,CANYON COMPLEX,2008-06-21,2008-09-30,"47,680",0,0,102 days,,,102
TEHAMA,ANTELOPE,2008-06-22,2008-06-26,600,0,0,5 days,,,5
SAN MATEO,Quarry,2008-06-22,2008-06-29,300,0,0,8 days,,,8
SONOMA,Walker,2008-06-22,2008-06-29,"15,000",0,0,8 days,,,8
TEHAMA,MILL COMPLEX,2008-06-22,2008-06-29,"2,100",0,0,8 days,,,8
SHASTA,Venture,2008-06-22,2008-07-04,"1,912",0,0,13 days,,,13
LASSEN,Popcorn,2008-06-22,2008-07-08,"3,000",0,0,17 days,,,17
MENDOCINO,Orr Incident,2008-06-22,2008-07-10,"3,000",0,0,19 days,,,19
MENDOCINO,Cliff Ridge B Lightning,2008-06-22,2008-07-12,999,0,0,21 days,,,21
MENDOCINO,Shamrock East Lightning,2008-06-22,2008-07-12,469,0,0,21 days,,,21
MENDOCINO,5-8 Cliff Lightning,2008-06-22,2008-07-13,"1,000",0,0,22 days,,,22
SISKIYOU,"BEAR WALLOW COMPLEX
(KLAMATH THEATER)",2008-06-22,2008-09-30,"192,038",2,0,101 days,,,101
MADERA,Oliver / MRP 588,2008-06-23,2008-07-06,"2,789",0,0,14 days,,,14
LASSEN,Corral,2008-06-23,2008-07-07,"12,500",0,0,15 days,,,15
TEHAMA,Mill Creek,2008-06-24,2008-07-01,"13,580",0,0,8 days,,,8
MENDOCINO,Juan Creek Lightning,2008-06-27,2008-07-15,450,0,0,19 days,,,19
KERN,PIUTE,2008-06-28,2008-07-25,"37,026",0,0,28 days,,,28
MENDOCINO,Hardy,2008-06-30,2008-06-30,"5,581",0,0,1 days,,,1
TULARE,Wiggle,2008-07-01,2008-07-02,450,0,0,2 days,,,2
SANTA BARBARA,GAP,2008-07-01,2008-07-28,"9,443",0,0,28 days,,,28
LASSEN,Dixie,2008-07-02,2008-07-04,350,0,0,3 days,,,3
MENDOCINO,Orr Springs Rd Orr 3,2008-07-03,2008-07-03,"3,000",0,0,1 days,,,1
MENDOCINO,Travis 3 Lightning,2008-07-04,2008-07-04,750,0,0,1 days,,,1
MENDOCINO,Casoose Creek Lightning,2008-07-04,2008-07-04,550,0,0,1 days,,,1
MENDOCINO,Butch Lightning,2008-07-04,2008-07-04,"2,800",0,0,1 days,,,1
MENDOCINO,Albion Lightning,2008-07-04,2008-07-08,"3,000",0,0,5 days,,,5
MENDOCINO,Horse Lightning,2008-07-04,2008-07-08,"1,000",0,0,5 days,,,5
MENDOCINO,Lost Pipe Lightning,2008-07-04,2008-07-10,"1,200",0,0,7 days,,,7
MENDOCINO,Burger Ck Lightning,2008-07-04,2008-07-12,528,0,0,9 days,,,9
MENDOCINO,Orr Series Lightning,2008-07-04,2008-07-13,"3,000",0,0,10 days,,,10
MENDOCINO,Jameson Lightning,2008-07-04,2008-07-13,925,0,0,10 days,,,10
MENDOCINO,Montgomery Flat Lightning,2008-07-04,2008-07-15,"3,000",0,0,12 days,,,12
MENDOCINO,Brushy Lightning,2008-07-04,2008-07-15,391,0,0,12 days,,,12
MENDOCINO,Jack Smith Lightning,2008-07-04,2008-07-15,"2,000",0,0,12 days,,,12
MENDOCINO,Low Gap 1 Lightning,2008-07-04,2008-07-15,"1,700",0,0,12 days,,,12
MENDOCINO,Travis 1 Lightning,2008-07-05,2008-07-05,650,0,0,1 days,,,1
MENDOCINO,Alder Creek Beach Rd Man,2008-07-07,2008-07-07,"1,000",0,0,1 days,,,1
MADERA,Dino IC,2008-07-10,2008-07-11,800,0,0,2 days,,,2
FRESNO,TEHIPITE,2008-07-19,2008-11-11,"11,596",0,0,116 days,,,116
MADERA,Hwy 152,2008-07-21,2008-07-21,700,0,0,1 days,,,1
MADERA,Telegraph,2008-07-25,2008-09-15,"34,091",0,0,53 days,,,53
PLUMAS,RICH,2008-07-29,2008-08-10,"6,112",0,0,13 days,,,13
MONO,SHERWIN,2008-08-03,2008-08-08,347,0,0,6 days,,,6
BUTTE,Craig,2008-08-03,2008-08-11,"2,001",0,0,9 days,,,9
SAN BENITO,Turkey,2008-08-07,2008-08-07,400,0,0,1 days,,,1
BUTTE,Smokey,2008-08-13,2008-08-13,"1,324",0,0,1 days,,,1
BUTTE,Rim,2008-08-13,2008-08-13,"1,651",0,0,1 days,,,1
BUTTE,Empire,2008-08-13,2008-08-13,"2,000",0,0,1 days,,,1
BUTTE,Camp,2008-08-13,2008-08-13,"47,647",0,0,1 days,,,1
TULARE,Rodeo,2008-08-14,2008-08-14,500,0,0,1 days,,,1
TULARE,Elk,2008-08-14,2008-08-15,600,0,0,2 days,,,2
TULARE,Rodeo 2,2008-08-14,2008-08-15,500,0,0,2 days,,,2
SISKIYOU,SLINKARD,2008-08-17,2008-08-21,374,0,0,5 days,,,5
SISKIYOU,JACK,2008-08-17,2008-08-22,"6,900",0,0,6 days,,,6
FRESNO,Avenal,2008-08-19,2008-08-20,946,0,0,2 days,,,2
NEVADA,Gladding,2008-09-01,2008-09-03,"1,000",0,0,3 days,,,3
SHASTA,ELMORE,2008-09-07,2008-09-09,343,0,0,3 days,,,3
SHASTA,GULCH,2008-09-07,2008-09-11,"2,847",0,0,5 days,,,5
HUMBOLDT,DEERHORN,2008-09-08,2008-09-14,381,0,0,7 days,,,7
TULARE,HIDDEN,2008-09-10,2008-09-30,"3,668",0,0,21 days,,,21
SAN DIEGO,ROBLAR,2008-09-25,2008-09-29,400,0,0,5 days,,,5
MONTEREY,CHALK,2008-09-25,2028-10-29,"16,269",0,0,7340 days,,,7340
TUOLUMNE,DOME ROCK,2008-09-30,2008-11-15,919,0,0,47 days,,,47
SAN DIEGO,NOVEMBER,2008-10-08,2008-10-09,"1,400",0,0,2 days,,,2
SONOMA,Deer Park,2008-10-10,2008-10-14,300,0,0,5 days,,,5
MARIN,ANGEL,2008-10-12,2008-10-14,303,0,0,3 days,,,3
LOS ANGELES,MAREK,2008-10-12,2008-10-16,"4,824",0,0,5 days,,,5
SAN DIEGO,JULIETT,2008-10-13,2008-10-17,"4,026",0,0,5 days,,,5
LOS ANGELES,SESNON,2008-10-13,2008-10-18,"14,703",0,0,6 days,,,6
MARIPOSA,WAWONA NW,2008-10-14,2008-10-19,450,0,0,6 days,,,6
SAN BERNARDINO,Foxborough,2008-10-22,2008-10-22,324,0,0,1 days,,,1
BUTTE,Lackerman,2008-10-23,2008-10-23,"1,310",0,0,1 days,,,1
BUTTE,Long,2008-10-23,2008-10-23,420,0,0,1 days,,,1
SANTA BARBARA,TEA INCIDENT,2008-11-13,2008-11-17,"1,940",0,0,5 days,,,5
LOS ANGELES,SAYRE,2008-11-14,2008-11-21,"11,262",0,0,8 days,,,8
RIVERSIDE,Freeway,2008-11-15,2008-11-22,"30,305",0,0,8 days,,,8
SAN BERNARDINO,Fort,2009-02-05,2009-02-07,945,0,0,3 days,,,3
SANTA BARBARA,JESUSITA,2009-05-05,2009-05-20,"8,733",0,0,16 days,,,16
STANISLAUS,Mustang,2009-05-13,2009-05-16,570,0,0,4 days,,,4
RIVERSIDE,LOST HORSE,2009-05-24,2009-06-02,450,0,0,10 days,,,10
RIVERSIDE,Oliver,2009-05-27,2009-05-27,500,0,0,1 days,,,1
TULARE,TUU Lightning Complex,2009-05-28,2009-05-31,495,0,0,4 days,,,4
MARIPOSA,GROUSE,2009-05-30,2009-08-12,"3,007",0,0,75 days,,,75
TUOLUMNE,HARDEN,2009-06-08,2009-08-09,"1,654",0,0,63 days,,,63
TULARE,SHOTGUN,2009-06-17,2009-07-11,900,0,0,25 days,,,25
SAN JOAQUIN,Explosive,2009-06-19,2009-06-19,"2,163",0,0,1 days,,,1
KERN,PARKWAY,2009-06-22,2009-06-22,690,0,0,1 days,,,1
CALAVERAS,Rock,2009-06-28,2009-06-28,410,0,0,1 days,,,1
