County,Fire Name,Start,Contained,Acres,Strux_Destr,Strux_Dmgd,Deaths_FF,Deaths_Civil,Duration
PLUMAS,CHILCOOT,2017-08-06,2017-08-08,"1,021",0,0,0,0,3.0
LASSEN,POSLIN,2017-08-06,2017-08-09,860,0,0,0,0,4.0
MADERA,BUTTE,2017-08-07,2017-08-17,635,0,0,0,0,11.0
DEL NORTE,YOUNG,2017-08-07,2017-10-15,"21,377",0,0,0,0,70.0
TRINITY,RUTH COMPLEX,2017-08-09,2017-08-25,"4,736",0,0,0,0,17.0
KERN,ROSE,2017-08-10,2017-08-10,338,0,0,0,0,1.0
SISKIYOU,SALMON AUGUST COMPLEX,2017-08-13,2017-10-20,"65,889",1,0,0,0,69.0
MARIPOSA,SOUTH FORK,2017-08-13,2017-11-30,"7,000",0,0,0,0,110.0
JACKSON (OR),MILLER COMPLEX,2017-08-14,2017-11-30,"39,716",0,0,0,0,109.0
SISKIYOU,ECLIPSE COMPLEX,2017-08-15,2017-10-10,"78,698",0,0,0,0,57.0
YUBA,BEALE,2017-08-20,2017-08-20,950,0,0,0,0,1.0
MODOC,JONES,2017-08-23,2017-08-27,375,0,0,0,0,5.0
MODOC,BOLES,2017-08-23,2017-09-04,371,0,0,0,0,13.0
LASSEN,MUD,2017-08-29,2017-09-01,"6,042",0,0,0,0,4.0
MADERA,RAILROAD,2017-08-29,2017-09-15,"12,407",8,1,1,0,18.0
MONO,SLINKARD,2017-08-29,2017-09-11,"8,925",0,0,0,0,14.0
TULARE,PIER,2017-08-29,2017-09-24,"36,556",2,0,0,0,27.0
WASHOE (NV),R-4,2017-08-30,2017-09-18,"18,618",0,0,0,0,20.0
TRINITY,HELENA,2017-08-30,2017-10-19,"21,449",131,0,0,0,51.0
KERN,CALDWELL,2017-09-01,2017-09-06,"1,319",0,0,0,0,6.0
LOS ANGELES,LA TUNA,2017-09-01,2017-09-08,"7,194",5,0,0,0,8.0
TUOLUMNE,CREEK,2017-09-03,2017-11-20,"1,749",0,0,0,0,79.0
PLUMAS,EUREKA,2017-09-05,2017-10-31,437,0,0,0,0,57.0
