County,Fire Name,Start,Contained,Acres,Strux_Destr,Strux_Dmgd,Deaths_FF,Deaths_Civil,Duration
FRESNO,HILLS,2020-08-15,2020-09-27,"2,121",0,0,1,0,44
SAN LUIS OBISPO,WHALE,2020-08-15,2020-08-18,320,0,0,0,0,4
MONTEREY,RIVER,2020-08-16,2020-09-04,"48,088",30,13,0,0,20
"SAN MATEO, SANTA CRUZ","CZU AUGUST LIGHTNING
COMPLEX",2020-08-16,2020-09-22,"86,509",0,140,0,1,38
"CONTRA COSTA, SANTA CLARA,
ALAMEDA, SAN JOAQUIN,
STANISLAUS","SCU LIGHTNING
COMPLEX",2020-08-16,2020-09-15,"396,625",225,26,0,0,31
"BUTTE, TEHAMA, GLENN","BUTTE TEHAMA GLENN
COMPLEX",2020-08-17,2020-09-16,"19,609",0,0,0,0,31
"NAPA, LAKE, SONOMA, SOLANO","LNU LIGHTNING
COMPLEX",2020-08-17,2020-09-22,"363,220",0,232,0,5,37
"TRINITY, TEHAMA, GLENN, LAKE,
MENDOCINO","AUGUST COMPLEX WEST
ZONE",2020-08-17,2020-10-15,"143,181",55,6,0,0,60
NEVADA,JONES,2020-08-17,2020-09-06,705,18,3,0,0,21
"VENTURA, LOS ANGELES",HOLSER,2020-08-17,2020-08-22,"2,189",0,0,0,0,6
MONTEREY,CARMEL,2020-08-18,2020-09-06,"6,901",73,7,0,0,20
MENDOCINO,CREEK,2020-08-18,2020-08-26,820,3,0,0,0,9
CALAVERAS,SALT,2020-08-18,2020-08-24,"1,783",0,0,0,0,7
TUOLUMNE,MOC,2020-08-20,2020-08-31,"2,857",2,1,0,0,12
MADERA,HENSLEY #2,2020-08-30,2020-08-30,400,0,0,0,0,1
SAN BERNARDINO,EL DORADO,2020-09-05,2020-11-16,"22,744",14,2,1,0,73
MENDOCINO,OAK,2020-09-07,2020-09-25,"1,100",56,1,0,0,19
YUBA,WILLOW,2020-09-09,2020-09-09,"1,311",11,5,0,0,1
RIVERSIDE,SNOW,2020-09-17,2020-09-24,"6,254",0,0,0,0,8
"NAPA, SONOMA",GLASS,2020-09-27,2020-10-20,"67,484",0,282,0,0,24
SHASTA,ZOGG,2020-09-27,2020-10-14,"56,338",204,27,0,4,18
RIVERSIDE,CANDY,2020-09-29,2020-09-30,454,0,0,0,0,2
ORANGE,SILVERADO,2020-10-26,2020-11-07,"12,466",5,11,0,0,13
ORANGE,BLUE RIDGE,2020-10-26,2020-11-07,"13,694",1,12,0,0,13
ORANGE,BOND,2020-12-02,2020-12-11,"6,686",31,21,0,0,10
RIVERSIDE,SANDERSON,2020-12-13,2020-12-13,"1,954",0,0,0,0,1
KINGS,INTERSTATE 5,2020-05-03,2020-05-03,"2,060",0,0,0,0,1
SAN LUIS OBISPO,RANGE,2020-05-27,2020-05-28,"5,000",0,0,0,0,2
SANTA BARBARA,SCORPION,2020-05-31,2020-06-05,"1,395",0,0,0,0,6
SAN DIEGO,INDIA,2020-06-09,2020-06-16,"1,100",0,0,0,0,8
FRESNO,HOG,2020-06-14,2020-06-15,533,0,0,0,0,2
SAN BERNARDINO,IVANPAH,2020-06-22,2020-06-26,"1,088",0,0,0,0,5
LASSEN,R-2,2020-06-23,2020-06-25,563,0,0,0,0,3
LOS ANGELES,ROWHER,2020-07-01,2020-07-09,616,0,0,0,0,9
YUBA,VALLEY,2020-07-15,2020-07-15,500,0,0,0,0,1
"SISKIYOU, MODOC",JULY COMPLEX,2020-07-22,2020-08-22,"83,261",15,0,0,0,32
MARIPOSA,BLUEJAY,2020-07-24,2020-11-19,"6,922",0,0,0,0,119
LASSEN,ADAMS,2020-07-26,2020-07-31,918,0,0,0,0,6
HUMBOLDT,RED SALMON COMPLEX,2020-07-28,2020-11-16,"144,698",0,0,0,0,112
TEHAMA,STUMP,2020-08-01,2020-08-13,684,0,0,0,0,13
YUBA,BEALE,2020-08-02,2020-08-03,600,0,0,0,0,2
"LASSEN, WASHOE (NV)",NORTH,2020-08-02,2020-08-08,"6,882",0,1,0,0,7
KERN,STAGECOACH,2020-08-03,2020-08-14,"7,760",31,4,1,0,12
FRESNO,TRIMMER,2020-08-03,2020-09-01,594,0,0,0,0,30
TUOLUMNE,WOLF,2020-08-11,2020-11-19,"2,057",0,0,0,0,101
LOS ANGELES,LAKE,2020-08-12,2020-09-30,"31,089",34,6,0,0,50
LOS ANGELES,RANCH 2,2020-08-13,2020-09-03,"4,237",0,0,0,0,22
SIERRA,LOYALTON,2020-08-14,2020-08-30,"47,029",35,0,0,0,17
SAN BERNARDINO,DOME,2020-08-15,2020-08-22,"43,273",6,0,0,0,8
MONO,BEACH,2020-08-16,2020-08-28,"3,780",0,0,0,0,13
TULARE,RATTLESNAKE,2020-08-16,2020-12-31,"8,419",0,0,0,0,138
"TRINITY, TEHAMA, GLENN,
LAKE, MENDOCINO",AUGUST COMPLEX,2020-08-17,2020-11-15,"889,467",34,4,1,0,91
LASSEN,R-5,2020-08-17,2020-08-19,471,0,0,0,0,3
PLUMAS,SHEEP,2020-08-17,2020-09-09,"29,570",26,2,0,0,24
"PLUMAS, BUTTE",NORTH COMPLEX,2020-08-17,2020-11-30,"318,935",0,119,0,16,106
MONTEREY,DOLAN,2020-08-18,2020-12-31,"124,924",19,4,0,0,136
LASSEN,W-5 COLD SPRINGS,2020-08-18,2020-09-13,"84,817",1,0,0,0,27
MARIN,WOODWARD,2020-08-18,2020-10-01,"4,929",0,0,0,0,45
TULARE,SQF COMPLEX,2020-08-19,2021-01-07,"175,019",232,12,0,0,142
TULARE,MORAINE,2020-08-21,2020-12-31,"1,316",0,0,0,0,133
MONO,SLINK,2020-08-29,2020-10-15,"26,759",2,0,0,0,48
TRINITY,HOBO,2020-09-01,2020-09-10,413,0,0,0,0,10
"FRESNO, MADERA",CREEK,2020-09-04,2020-12-31,"379,895",858,71,0,0,119
SAN DIEGO,VALLEY,2020-09-05,2020-09-24,"16,390",64,11,0,0,20
LOS ANGELES,BOBCAT,2020-09-06,2020-11-30,"115,997",169,47,0,0,86
EL DORADO,FORK,2020-09-08,2020-11-08,"1,673",0,0,0,0,62
SISKIYOU,SLATER,2020-09-08,2020-11-15,"157,270",353,24,0,2,69
FRESNO,BULLFROG,2020-09-08,2020-11-15,"1,185",0,0,0,0,69
SISKIYOU,DEVIL,2020-09-09,2050-11-15,"8,857",0,0,0,0,11025
SISKIYOU,FOX,2020-09-14,2020-09-30,"2,188",0,0,0,0,17
MONTEREY,COLEMAN,2020-10-18,2020-11-15,574,0,0,0,0,29
LASSEN,LAURA 2,2020-11-17,2020-11-23,"2,800",42,7,0,0,7
MONO,MOUNTAIN VIEW,2020-11-17,2020-11-30,"20,385",97,0,0,1,14
RIVERSIDE,AIRPORT,2020-12-01,2020-12-17,"1,087",0,0,0,0,17
SAN DIEGO,CREEK 5,2020-12-23,2020-12-28,"4,276",0,0,0,0,6
