Year,County,Acres,Strux_Destr,Strux_Dmgd,Deaths_FF,Deaths_Civil,Duration,Unique_Fire_Days,Total_Fires
2016,LAKE,3929,300,28,0,0,22,22,1
2016,LASSEN,2575,7,0,0,0,32,32,1
2016,LOS ANGELES,48347,125,23,0,2,63,47,5
2016,MARIPOSA,1001,0,0,0,0,128,128,1
2016,MERCED,1246,0,0,0,0,2,2,1
2016,MODOC,3102,0,0,0,0,50,50,2
2016,MONO,8916,5,0,0,0,49,49,3
2016,MONTEREY,145399,69,5,1,0,122,104,5
2016,PLACER,5645,0,0,0,0,48,48,1
2016,RIVERSIDE,1470,1,0,0,0,7,7,1
2016,SACRAMENTO,372,0,0,0,0,3,3,1
2016,SAN BERNARDINO,44384,321,8,0,0,34,33,2
2016,SAN DIEGO,8854,16,3,0,2,20,20,2
2016,SAN LUIS OBISPO,51950,70,8,0,0,32,32,3
2016,SANTA BARBARA,52822,10,0,1,0,46,46,3
2016,SANTA CLARA,4474,28,1,0,0,44,44,1
2016,SHASTA,303,1,1,0,0,2,2,1
2016,SISKIYOU,37437,24,1,0,0,157,118,3
2016,SONOMA,1547,0,0,0,0,7,7,1
2016,TEHAMA,785,0,0,0,0,8,8,2
2016,TULARE,12696,0,0,0,0,101,59,6
2016,TUOLUMNE,1080,0,0,0,0,9,9,1
2016,VENTURA,2304,0,0,0,0,18,18,1
2016,YOLO,5731,2,0,0,0,11,11,1
2016,YUBA,389,0,0,0,0,2,2,1
2017,BUTTE,24700,226,13,0,0,130,97,4
2017,DEL NORTE,21377,0,0,0,0,70,70,1
2017,EL DORADO,426,0,0,0,0,40,40,1
2017,FRESNO,19300,4,0,0,0,31,31,7
2017,JACKSON (OR),39716,0,0,0,0,109,109,1
2017,KERN,8044,0,0,0,0,30,30,8
2017,KINGS,48660,1,0,0,0,17,17,1
2017,LAKE,2207,162,8,0,0,18,18,1
2017,LASSEN,90635,8,3,0,0,23,23,3
2017,LOS ANGELES,30894,144,100,0,0,67,44,6
2017,MADERA,16659,19,5,1,0,53,35,6
2017,MARIN,1660,3,1,0,0,4,4,1
2017,MARIPOSA,95754,134,21,0,0,258,147,4
2017,MENDOCINO,37423,544,41,0,9,22,22,2
2017,MERCED,1733,0,0,0,0,2,2,1
2017,MODOC,93014,1,0,0,0,75,51,7
2017,MONO,9695,0,0,0,0,22,22,3
2017,MONTEREY,3788,0,1,0,0,9,9,2
2017,NAPA,96714,783,437,1,27,68,24,3
2017,NEVADA,2036,61,5,0,0,44,30,4
2017,ORANGE,11879,25,62,0,0,18,18,2
2017,PLUMAS,5768,0,0,0,0,79,76,3
2017,RIVERSIDE,14725,3,48,0,0,35,32,7
2017,SACRAMENTO,1268,0,0,0,0,3,3,1
2017,SAN BERNARDINO,2958,1,0,0,0,31,28,4
2017,SAN DIEGO,8879,157,64,0,0,28,25,6
2017,SAN LUIS OBISPO,31103,24,1,0,0,21,18,4
2017,SANTA BARBARA,18874,40,7,0,0,96,90,2
2017,SANTA CRUZ,391,6,0,0,0,14,14,1
2017,SHASTA,900,0,0,0,0,23,23,1
2017,SISKIYOU,172678,2,0,0,0,243,108,5
2017,SONOMA,65630,6,174,0,3,70,24,3
2017,TEHAMA,856,0,0,0,0,3,3,1
2017,TRINITY,39619,131,0,0,0,123,85,3
2017,TULARE,77141,2,0,0,0,170,161,7
2017,TUOLUMNE,7672,1,0,0,0,209,125,3
2017,VENTURA,281893,0,274,1,1,40,40,1
2017,WASHOE (NV),19207,0,0,0,0,22,22,2
2017,YOLO,1700,0,0,0,0,9,9,1
2017,YUBA,10939,264,10,0,4,13,13,2
2018,ALAMEDA,480,1,0,0,0,2,2,1
2018,AMADOR,825,1,1,0,0,4,4,1
2018,BUTTE,155346,0,754,0,85,68,63,4
2018,COLUSA,459123,281,38,1,0,85,63,2
2018,EL DORADO,316,0,0,0,0,2,2,1
2018,GLENN,2290,1,0,0,0,14,14,1
2018,HUMBOLDT,3674,0,0,0,0,15,15,1
2018,INYO,6076,0,0,0,0,30,30,3
2018,KERN,3883,0,0,0,0,7,7,2
2018,LAKE,15180,22,6,0,0,16,16,1
2018,LASSEN,19732,4,0,0,0,18,18,3
2018,LOS ANGELES,4732,0,0,0,0,14,14,2
2018,MADERA,13950,0,0,0,0,48,48,4
2018,MARIPOSA,96901,11,0,2,0,41,41,1
