County,Fire Name,Start,Contained,Acres,Strux_Destr,Strux_Dmgd,Deaths_FF,Deaths_Civil,Duration
SISKIYOU,FORT COMPLEX,2012-08-05,2012-09-10,"23,653",0,0,0,0,37.0
LOS ANGELES,WILLIAMS,2012-09-02,2012-09-11,"4,192",0,0,0,0,10.0
TRINITY,STAFFORD,2012-09-05,2012-09-13,"4,407",0,0,0,0,9.0
SHASTA,WARD,2012-09-11,2012-09-14,550,0,0,0,0,4.0
SHASTA,BAGLEY,2012-08-18,2012-09-15,"46,011",0,0,0,0,29.0
MENDOCINO,NORTH PASS,2012-08-18,2012-09-16,"41,983",26,4,0,0,30.0
LASSEN,LIKELY,2012-09-05,2012-09-14,"9,838",0,0,0,0,10.0
INYO,SOUTH COMPLEX,2012-08-10,2012-10-16,453,0,0,0,0,68.0
SAN BERNARDINO,DEVORE,2012-11-05,2012-11-06,335,1,0,0,0,2.0
MARIPOSA,CASCADE,2012-06-16,2012-11-26,"1,705",0,0,0,0,164.0
,,,,"609,178",65,14,0,0,
LAKE,BECKS,2013-01-22,2013-01-23,335,0,0,0,0,2.0
INYO,RIVER,2013-02-24,2013-02-28,407,0,0,0,0,5.0
RIVERSIDE,JURUPA,2013-02-28,2013-03-02,300,0,2,0,0,3.0
TEHAMA,PANTHER,2013-05-01,2013-05-09,"6,896",0,0,0,0,9.0
RIVERSIDE,SUMMIT,2013-05-01,2013-05-04,"2,956",2,0,0,0,4.0
VENTURA,SPRINGS,2013-05-02,2013-05-09,"24,251",10,12,0,0,8.0
SAN BENITO,TRES PINOS,2013-05-03,2013-05-04,354,0,0,0,0,2.0
MENDOCINO,FOSTER,2013-05-03,2013-05-05,300,0,0,0,0,3.0
RIVERSIDE,GORGONIO,2013-05-04,2013-05-04,650,0,0,0,0,1.0
LOS ANGELES,LAKE,2013-05-17,2013-05-20,712,0,0,0,0,4.0
SAN DIEGO,FELIPE,2013-05-23,2013-05-29,"2,650",0,0,0,0,7.0
MERCED,RIVER,2013-05-26,2013-05-27,450,0,0,0,0,2.0
SAN DIEGO,GENERAL,2013-05-26,2013-05-31,"2,500",0,0,0,0,6.0
SAN JOAQUIN,SHELTON,2013-05-30,2013-05-30,303,0,0,0,0,1.0
MADERA,ROLLING,2013-06-16,2013-06-18,480,1,0,0,0,3.0
SAN BERNARDINO,MILL,2013-06-28,2013-07-02,534,0,3,0,0,5.0
CONTRA COSTA,KIRKER,2013-07-01,2013-07-02,492,2,0,0,0,2.0
MODOC,FOX,2013-07-03,2013-07-07,502,0,0,0,0,5.0
SAN DIEGO,CHARIOT,2013-07-06,2013-07-15,"7,055",149,9,0,0,10.0
RIVERSIDE,MOUNTAIN,2013-07-15,2013-07-31,"27,531",23,1,0,0,17.0
KERN,RANCHO,2013-07-19,2013-07-22,500,0,0,0,0,4.0
KERN,WATER,2013-07-23,2013-07-25,612,0,0,0,0,3.0
RIVERSIDE,SILVER,2013-08-07,2013-08-15,"20,292",48,8,0,0,9.0
BUTTE,SWEDES,2013-08-16,2013-08-22,"2,264",8,0,0,0,7.0
TEHAMA,DEER,2013-08-23,2013-08-29,"11,429",0,0,0,0,7.0
CONTRA COSTA,MORGAN,2013-09-08,2013-09-14,"3,100",0,0,0,0,7.0
SHASTA,CLOVER,2013-09-09,2013-09-15,"8,073",196,15,0,1,7.0
NAPA,PUTAH,2013-10-03,2013-10-04,376,0,0,0,0,2.0
BUTTE,SUMMIT,2013-10-04,2013-10-05,305,54,6,0,0,2.0
SONOMA,MCCABE,2013-11-22,2013-11-28,"3,505",1,0,0,0,7.0
,,,,"130,114",494,56,0,1,
KERN,GRAND,2013-05-15,2013-05-22,"4,346",0,0,0,0,8.0
SANTA BARBARA,WHITE,2013-05-27,2013-06-05,"1,984",0,1,0,0,10.0
LOS ANGELES,POWERHOUSE,2013-05-30,2013-06-10,"30,274",58,4,0,0,12.0
SAN LUIS OBISPO,BRANCH,2013-06-01,2013-06-04,486,0,0,0,0,4.0
RIVERSIDE,HATHAWAY,2013-06-09,2013-10-15,"3,870",1,0,0,0,129.0
MARIPOSA,CARSTENS,2013-06-16,2013-06-26,"1,708",0,0,0,0,11.0
EL DORADO,KYBURZ,2013-07-08,2013-07-11,572,2,0,0,0,4.0
FRESNO,ASPEN,2013-07-22,2013-09-08,"22,992",0,0,0,0,49.0
HUMBOLDT,DANCE,2013-07-29,2013-08-02,577,3,0,0,0,5.0
SISKIYOU,FORKS COMPLEX,2013-07-31,2013-10-01,"37,246",0,0,0,0,63.0
RIVERSIDE,FALLS,2013-08-05,2013-08-09,"1,383",0,0,0,0,5.0
TUOLUMNE,POWER,2013-08-05,2013-08-13,"1,070",0,2,0,0,9.0
HUMBOLDT,CORRAL COMPLEX,2013-08-10,2013-10-02,"12,503",0,0,0,0,54.0
PLACER,AMERICAN,2013-08-11,2013-08-29,"27,440",5,2,0,0,19.0
TUOLUMNE,RIM,2013-08-17,2013-10-27,"257,314",112,7,0,0,72.0
KERN,SHIRLEY COMPLEX,2013-08-18,2013-08-22,794,0,0,0,0,5.0
PLUMAS,HOUGH COMPLEX,2013-08-18,2013-08-24,513,0,0,0,0,7.0
SAN BERNARDINO,GOBBLERS,2013-08-20,2013-08-30,413,0,0,0,0,11.0
MONTEREY,MISSION,2013-08-22,2013-08-25,"4,500",0,0,0,0,4.0
TULARE,FISH,2013-08-23,2013-09-05,"2,060",0,0,0,0,14.0
FRESNO,WINDY PEAK,2013-08-23,2013-10-20,681,0,0,0,0,59.0
SAN DIEGO,DELUZ,2013-10-05,2013-10-09,"2,236",0,1,0,0,5.0
LAKE,HIGHGLADE,2013-11-23,2013-11-29,305,0,0,0,0,7.0
MONTEREY,PFEIFFER,2013-12-16,2013-12-20,917,38,0,0,0,5.0
,,,,"416,184",219,17,0,0,
MONTEREY,METZ,2016-05-22,2016-05-25,"3,876",0,0,0,0,4.0
SAN DIEGO,BORDER 3,2016-06-19,2016-07-01,"7,609",16,3,0,2,13.0
MERCED,DINOSAUR,2016-06-25,2016-06-26,"1,246",0,0,0,0,2.0
SACRAMENTO,RANCHO,2016-06-28,2016-06-30,372,0,0,0,0,3.0
PLACER,TRAILHEAD,2016-06-28,2016-08-14,"5,645",0,0,0,0,48.0
TEHAMA,COLYEAR,2016-06-30,2016-07-06,464,0,0,0,0,7.0
FRESNO,CURRY,2016-07-01,2016-07-04,"2,944",0,0,0,0,4.0
KERN,DEER,2016-07-01,2016-07-10,"1,785",0,0,0,0,10.0
CALAVERAS,APPALOOSA,2016-07-02,2016-07-15,310,1,0,0,0,14.0
SHASTA,FIDDLER,2016-07-08,2016-07-09,303,1,1,0,0,2.0
KERN,FORT,2016-07-08,2016-07-09,554,0,0,0,0,2.0
LOS ANGELES,SAGE,2016-07-09,2016-07-16,"1,100",0,2,0,0,8.0
CALAVERAS,PACHECO,2016-07-12,2016-07-18,341,2,0,0,0,7.0
MONTEREY,SOBERANES,2016-07-22,2016-10-13,"132,127",68,5,1,0,84.0
FRESNO,GOOSE,2016-07-30,2016-08-09,"2,241",9,1,0,0,11.0
BUTTE,99,2016-08-02,2016-08-08,520,0,0,0,0,7.0
YOLO,COLD,2016-08-02,2016-08-12,"5,731",2,0,0,0,11.0
FRESNO,MINERAL,2016-08-08,2016-08-19,"7,050",2,0,0,0,12.0
SAN LUIS OBISPO,CHIMNEY,2016-08-13,2016-09-07,"46,235",70,8,0,0,26.0
MONTEREY,METZ,2016-05-22,2016-05-25,"3,876",0,0,0,0,4.0
LAKE,CLAYTON,2016-08-13,2016-09-03,"3,929",300,28,0,0,22.0
YUBA,BEALE,2016-08-18,2016-08-19,389,0,0,0,0,2.0
HUMBOLDT,TULLY,2016-08-22,2016-09-09,599,3,0,0,0,19.0
SISKIYOU,GRADE,2016-08-24,2016-09-10,710,10,1,0,0,18.0
CALAVERAS,WILLOW,2016-08-28,2016-09-04,450,0,1,0,0,8.0
RIVERSIDE,BOGART,2016-08-30,2016-09-05,"1,470",1,0,0,0,7.0
KERN,RANGE,2016-08-26,2016-08-31,600,0,0,0,0,6.0
KERN,HAVILA,2016-08-27,2016-08-31,304,0,0,0,0,5.0
BUTTE,SADDLE,2016-09-05,2016-09-22,800,3,0,0,0,18.0
MODOC,HOWARD,2016-09-11,2016-09-15,380,0,0,0,0,5.0
LASSEN,WILLARD,2016-09-11,2016-10-12,"2,575",7,0,0,0,32.0
TAHEMA,HOG,2016-09-13,2016-09-13,321,0,0,0,0,1.0
KERN,FLAT,2016-09-19,2016-09-22,307,0,0,0,0,4.0
SONOMA,SAWMILL,2016-09-25,2016-10-01,"1,547",0,0,0,0,7.0
TUOLUMNE,MARSHES,2016-09-26,2016-10-04,"1,080",0,0,0,0,9.0
SANTA CLARA,LOMA,2016-09-26,2016-11-08,"4,474",28,1,0,0,44.0
,,,,"240,388",523,51,1,2,
SAN LUIS OBISPO,CAMP ROBERTS,2016-05-18,2016-05-20,"3,712",0,0,0,0,3.0
TULARE,CHIMNEY,2016-06-01,2016-06-07,"1,324",0,0,0,0,7.0
MONTEREY,STONY,2016-06-02,2016-06-17,"3,000",0,0,0,0,16.0
SAN LUIS OBISPO,SODA,2016-06-04,2016-06-06,"2,003",0,0,0,0,3.0
LOS ANGELES,OLD,2016-06-04,2016-06-10,465,9,1,0,0,7.0
MONTEREY,COLEMAN,2016-06-04,2016-06-17,"2,520",1,0,0,0,14.0
SISKIYOU,PONY,2016-06-07,2016-10-02,"2,860",0,0,0,0,118.0
SANTA BARBARA,SHERPA,2016-06-15,2016-06-23,"7,474",5,0,0,0,9.0
LOS ANGELES,RESERVOIR,2016-06-20,2016-07-05,"1,146",0,0,0,1,16.0
LOS ANGELES,FISH,2016-06-20,2016-07-05,"4,253",0,0,0,0,16.0
KERN,ERSKINE,2016-06-23,2016-07-09,"48,019",286,12,0,2,17.0
MONO,MARINA,2016-06-24,2016-07-04,654,1,0,0,0,11.0
MARIPOSA,LAKES,2016-06-26,2016-10-31,"1,001",0,0,0,0,128.0
VENTURA,PINE,2016-06-30,2016-07-17,"2,304",0,0,0,0,18.0
SAN DIEGO,ROBLAR,2016-07-21,2016-07-27,"1,245",0,0,0,0,7.0
LOS ANGELES,SAND,2016-07-22,2016-08-06,"41,383",116,20,0,1,16.0
MONO,CLARK,2016-08-04,2016-08-12,"2,819",0,0,0,0,9.0
SAN BERNARDINO,PILOT,2016-08-07,2016-08-16,"8,110",0,0,0,0,10.0
INYO,HORSESHOE,2016-08-09,2016-08-17,369,0,0,0,0,9.0
KERN,CEDAR,2016-08-16,2016-09-24,"29,322",6,0,0,0,40.0
SAN BERNARDINO,BLUECUT,2016-08-16,2016-09-08,"36,274",321,8,0,0,24.0
SANTA BARBARA,REY,2016-08-18,2016-09-15,"32,606",5,0,0,0,29.0
ALPINE,MOKELUMNE,2016-08-19,2016-09-20,655,0,0,0,0,33.0
TULARE,TULE,2016-08-22,2016-08-22,395,0,0,0,0,1.0
SISKIYOU,GAP,2016-08-27,2016-09-16,"33,867",14,0,0,0,21.0
FRESNO,CROWN,2016-09-15,2016-10-31,800,0,0,0,0,47.0
SANTA BARBARA,CANYON,2016-09-17,2016-09-24,"12,742",0,0,1,0,8.0
MODOC,SOUP COMPLEX,2016-09-17,2016-10-31,"2,722",0,0,0,0,45.0
MONO,OWENS RIVER,2016-09-17,2016-10-15,"5,443",4,0,0,0,29.0
TULARE,SLATE,2016-10-04,2016-11-05,"2,160",0,0,0,0,33.0
FRESNO,SACATA,2016-10-11,2016-10-19,"2,100",0,0,0,0,9.0
TULARE,JACOBSON,2016-10-20,2016-11-01,"1,702",0,0,0,0,13.0
TULARE,MEADOW,2016-10-29,2016-11-22,"4,347",0,0,0,0,25.0
TULARE,HIDDEN,2016-11-02,2016-11-23,"2,768",0,0,0,0,22.0
,,,,"302,564",768,41,1,4,
INYO,MOFFAT,2018-04-19,2018-04-24,"1,065",0,0,0,0,6.0
MERCED,NEES,2018-05-02,2018-05-02,"1,756",0,0,0,0,1.0
RIVERSIDE,PATTERSON,2018-05-17,2018-05-18,"1,261",0,0,0,0,2.0
MADERA,CANAL,2018-05-19,2018-05-20,300,0,0,0,0,2.0
LOS ANGELES,STONE,2018-06-04,2018-06-08,"1,352",0,0,0,0,5.0
MADERA,O'NEALS,2018-06-04,2018-06-07,300,0,0,0,0,4.0
SAN BENITO,AIRLINE 2,2018-06-04,2018-06-12,"1,314",0,0,0,0,9.0
SAN BENITO,EASTERN 2,2018-06-04,2018-06-12,513,0,0,0,0,9.0
TEHAMA,APPLE,2018-06-09,2018-06-12,"2,956",9,3,0,0,4.0
GLENN,CHROME,2018-06-09,2018-06-22,"2,290",1,0,0,0,14.0
MERCED,PLANADA,2018-06-15,2018-06-19,"4,563",0,0,0,0,5.0
LAKE,PAWNEE,2018-06-23,2018-07-08,"15,180",22,6,0,0,16.0
TEHAMA,LANE,2018-06-23,2018-07-04,"3,392",0,0,0,0,12.0
SHASTA,PANTHER,2018-06-24,2018-06-26,386,0,0,0,0,3.0
BUTTE,SHIPPEE,2018-06-26,2018-06-27,460,0,0,0,0,2.0
LASSEN,HYATT,2018-06-27,2018-06-29,383,4,0,0,0,3.0
SAN JOAQUIN,WAVERLY,2018-06-29,2018-07-12,"11,789",1,0,0,0,14.0
YOLO,COUNTY,2018-06-30,2018-07-14,"90,000",29,4,0,0,15.0
EL DORADO,SHINGLE,2018-07-04,2018-07-05,316,0,0,0,0,2.0
SISKIYOU,KLAMATHON,2018-07-05,2018-07-21,"38,008",83,12,0,1,17.0
SAN BERNARDINO,VALLEY,2018-07-06,2018-07-12,"1,350",0,0,0,0,7.0
AMADOR,IRISH,2018-07-06,2018-07-09,825,1,1,0,0,4.0
ALAMEDA,GRANT,2018-07-08,2018-07-09,480,1,0,0,0,2.0
TEHAMA,DALE,2028-07-09,2018-07-09,856,0,0,0,0,-3652.0
YOLO,EIGHTY EIGHT,2018-07-18,2018-07-21,822,0,0,0,0,4.0
SANTA CLARA,COUNTRY,2018-07-22,2018-07-24,320,0,0,0,0,3.0
SHASTA,CARR,2018-07-23,2018-09-01,"229,651",0,279,3,4,41.0
SAN DIEGO,PASQUAL,2018-07-27,2018-07-31,365,0,0,0,0,5.0
"COLUSA, LAKE,
MENDOCINO","RIVER - MENDOCINO
COMPLEX",2018-07-27,2018-09-27,"48,920",35,11,0,0,63.0
"COLUSA, GLENN,
LAKE, MENDOCINO","RANCH - MENDOCINO
COMPLEX",2018-07-27,2018-08-17,"410,203",246,27,1,0,22.0
PLACER,SUNSET,2018-08-01,2018-08-03,695,0,0,0,0,3.0
KERN,TARINA,2018-08-03,2018-08-05,"3,516",0,0,0,0,3.0
MONTEREY,TURKEY,2018-08-06,2018-08-07,"2,225",0,0,0,0,2.0
SHASTA,HAT,2018-08-09,2018-08-23,"1,900",0,0,0,0,15.0
SOLANO,NELSON,2018-08-10,2018-08-14,"2,162",1,1,0,0,5.0
MONTEREY,GULCH,2018-08-11,2018-08-11,700,0,0,0,0,1.0
TULARE,RIVER 7,2018-08-15,2018-08-19,496,0,0,0,0,5.0
NAPA,SNELL,2018-09-08,2018-09-15,"2,490",0,0,0,0,8.0
TUOLUMNE,TULLOCH,2018-09-08,2018-09-10,573,0,0,0,0,3.0
MONTEREY,METZ,2018-09-13,2018-09-15,411,0,0,0,0,3.0
MADERA,OAK,2018-09-22,2018-09-29,360,0,0,0,0,8.0
LOS ANGELES,CHARLIE,2018-09-22,2018-09-30,"3,380",0,0,0,0,9.0
TEHAMA,SUN,2018-10-07,2018-10-07,"3,889",0,0,0,0,1.0
BUTTE,JUNES,2018-10-30,2018-11-12,550,0,0,0,0,14.0
VENTURA,HILL,2018-11-08,2018-11-16,"4,381",4,2,0,0,9.0
BUTTE,CAMP,2018-11-08,2018-12-20,"153,336",0,754,0,85,43.0
VENTURA,WOOLSEY,2018-11-08,2018-11-22,"96,949",0,364,0,3,15.0
,,,,"1,149,389",0,0,4,93,
INYO,PLEASANT,2018-02-18,2018-02-25,"2,070",0,0,0,0,8.0
SAN DIEGO,ALPHA,2018-05-04,2018-05-05,300,0,0,0,0,2.0
MADERA,LIONS,2018-06-11,2018-07-14,"12,990",0,0,0,0,34.0
LASSEN,TUMBLEWEED,2018-06-14,2018-06-17,646,0,0,0,0,4.0
SAN LUIS OBISPO,YANKEE,2018-06-20,2018-06-22,"1,500",0,0,0,0,3.0
