County,Fire Name,Start,Contained,Acres,Deaths_FF,Deaths_Civil,Duration,Strux_Destr,Strux_Dmgd
BUTTE,Long,2008-10-23,2008-10-23,420,0,0,1,0,0
SANTA BARBARA,TEA INCIDENT,2008-11-13,2008-11-17,"1,940",0,0,5,0,0
LOS ANGELES,SAYRE,2008-11-14,2008-11-21,"11,262",0,0,8,0,0
RIVERSIDE,Freeway,2008-11-15,2008-11-22,"30,305",0,0,8,0,0
SAN BERNARDINO,Fort,2009-02-05,2009-02-07,945,0,0,3,0,0
SANTA BARBARA,JESUSITA,2009-05-05,2009-05-20,"8,733",0,0,16,0,0
STANISLAUS,Mustang,2009-05-13,2009-05-16,570,0,0,4,0,0
RIVERSIDE,LOST HORSE,2009-05-24,2009-06-02,450,0,0,10,0,0
RIVERSIDE,Oliver,2009-05-27,2009-05-27,500,0,0,1,0,0
TULARE,TUU Lightning Complex,2009-05-28,2009-05-31,495,0,0,4,0,0
MARIPOSA,GROUSE,2009-05-30,2009-08-12,"3,007",0,0,75,0,0
TUOLUMNE,HARDEN,2009-06-08,2009-08-09,"1,654",0,0,63,0,0
TULARE,SHOTGUN,2009-06-17,2009-07-11,900,0,0,25,0,0
SAN JOAQUIN,Explosive,2009-06-19,2009-06-19,"2,163",0,0,1,0,0
KERN,PARKWAY,2009-06-22,2009-06-22,690,0,0,1,0,0
CALAVERAS,Rock,2009-06-28,2009-06-28,410,0,0,1,0,0
YOLO,Rumsey,2009-06-29,2009-07-02,716,0,0,4,0,0
TULARE,LION,2009-06-30,2009-08-21,"2,577",0,0,53,0,0
TULARE,GRANITE,2009-06-30,2009-08-21,"1,417",0,0,53,0,0
TRINITY,REDSPOT,2009-07-01,2009-07-24,"1,120",0,0,24,0,0
TRINITY,BACKBONE,2009-07-07,2009-07-24,"5,065",1,0,18,0,0
VENTURA,SULPHUR,2009-07-11,2009-07-13,343,0,0,3,0,0
SAN DIEGO,YANKEE,2009-07-11,2009-07-14,"2,200",0,0,4,0,0
