County,Fire Name,Start,Contained,Acres,Duration,Total Deaths,Year,Month
SISKIYOU,ONION,2011-08-19,2011-10-11,0.0,30,0,2011,9
SISKIYOU,ONION,2011-08-19,2011-10-11,1120.0,13,0,2011,8
SISKIYOU,ONION,2011-08-19,2011-10-11,0.0,11,0,2011,10
MARIPOSA,MOTOR,2011-08-25,2011-10-01,0.0,1,0,2011,10
MARIPOSA,MOTOR,2011-08-25,2011-10-01,0.0,30,0,2011,9
MARIPOSA,MOTOR,2011-08-25,2011-10-01,10460.0,7,0,2011,8
EL DORADO,LONG,2011-09-12,2011-11-11,966.0,19,0,2011,9
EL DORADO,LONG,2011-09-12,2011-11-11,0.0,11,0,2011,11
EL DORADO,LONG,2011-09-12,2011-11-11,0.0,31,0,2011,10
MARIPOSA,TAMARACK,2011-09-13,2011-10-17,0.0,17,0,2011,10
MARIPOSA,TAMARACK,2011-09-13,2011-10-17,1015.0,18,0,2011,9
TRINITY,RUTH,2011-09-23,2011-11-15,0.0,15,0,2011,11
TRINITY,RUTH,2011-09-23,2011-11-15,0.0,31,0,2011,10
TRINITY,RUTH,2011-09-23,2011-11-15,2920.0,8,0,2011,9
RIVERSIDE,WINDY POINT,2011-09-25,2011-10-03,0.0,3,0,2011,10
RIVERSIDE,WINDY POINT,2011-09-25,2011-10-03,541.0,6,0,2011,9
EL DORADO,SALT,2011-12-01,2012-01-04,342.0,4,0,2012,1
EL DORADO,SALT,2011-12-01,2012-01-04,0.0,31,0,2011,12
MARIPOSA,CASCADE,2012-06-18,2012-11-26,0.0,31,0,2012,7
MARIPOSA,CASCADE,2012-06-18,2012-11-26,0.0,31,0,2012,8
MARIPOSA,CASCADE,2012-06-18,2012-11-26,0.0,31,0,2012,10
MARIPOSA,CASCADE,2012-06-18,2012-11-26,0.0,26,0,2012,11
MARIPOSA,CASCADE,2012-06-18,2012-11-26,8525.0,13,0,2012,6
MARIPOSA,CASCADE,2012-06-18,2012-11-26,0.0,30,0,2012,9
SHASTA,READING,2012-07-23,2012-08-21,0.0,21,0,2012,8
SHASTA,READING,2012-07-23,2012-08-21,28079.0,9,0,2012,7
PLUMAS,PEAK,2012-07-29,2012-08-02,0.0,2,0,2012,8
PLUMAS,CHIPS,2012-07-29,2012-08-31,0.0,31,0,2012,8
PLUMAS,CHIPS,2012-07-29,2012-08-31,75217.0,3,0,2012,7
PLUMAS,PEAK,2012-07-29,2012-08-02,800.0,3,0,2012,7
SISKIYOU,FORT COMPLEX,2012-08-05,2012-09-10,23653.0,27,0,2012,8
SISKIYOU,FORT COMPLEX,2012-08-05,2012-09-10,0.0,10,0,2012,9
INYO,SOUTH COMPLEX,2012-08-10,2012-10-16,0.0,30,0,2012,9
INYO,SOUTH COMPLEX,2012-08-10,2012-10-16,906.0,22,0,2012,8
INYO,SOUTH COMPLEX,2012-08-10,2012-10-16,0.0,16,0,2012,10
TEHAMA,PONDEROSA,2012-08-18,2012-09-02,27676.0,14,0,2012,8
SHASTA,BAGLEY,2012-08-18,2012-09-15,46011.0,14,0,2012,8
SHASTA,BAGLEY,2012-08-18,2012-09-15,0.0,15,0,2012,9
TEHAMA,PONDEROSA,2012-08-18,2012-09-02,0.0,2,0,2012,9
MENDOCINO,NORTH PASS,2012-08-18,2012-09-16,41983.0,14,0,2012,8
MENDOCINO,NORTH PASS,2012-08-18,2012-09-16,0.0,16,0,2012,9
RIVERSIDE,RANGE,2012-09-29,2012-10-01,0.0,1,0,2012,10
RIVERSIDE,RANGE,2012-09-29,2012-10-01,351.0,2,0,2012,9
RIVERSIDE,JURUPA,2013-02-28,2013-03-02,0.0,2,0,2013,3
RIVERSIDE,JURUPA,2013-02-28,2013-03-02,300.0,1,0,2013,2
SANTA BARBARA,WHITE,2013-05-27,2013-06-05,1984.0,5,0,2013,5
SANTA BARBARA,WHITE,2013-05-27,2013-06-05,0.0,5,0,2013,6
LOS ANGELES,POWERHOUSE,2013-05-30,2013-06-10,30274.0,2,0,2013,5
LOS ANGELES,POWERHOUSE,2013-05-30,2013-06-10,0.0,10,0,2013,6
RIVERSIDE,HATHAWAY,2013-06-09,2013-10-15,0.0,31,0,2013,7
RIVERSIDE,HATHAWAY,2013-06-09,2013-10-15,0.0,31,0,2013,8
RIVERSIDE,HATHAWAY,2013-06-09,2013-10-15,0.0,30,0,2013,9
RIVERSIDE,HATHAWAY,2013-06-09,2013-10-15,15480.0,22,0,2013,6
RIVERSIDE,HATHAWAY,2013-06-09,2013-10-15,0.0,15,0,2013,10
SAN BERNARDINO,MILL,2013-06-28,2013-07-02,534.0,3,0,2013,6
SAN BERNARDINO,MILL,2013-06-28,2013-07-02,0.0,2,0,2013,7
FRESNO,ASPEN,2013-07-22,2013-09-08,0.0,8,0,2013,9
FRESNO,ASPEN,2013-07-22,2013-09-08,0.0,31,0,2013,8
FRESNO,ASPEN,2013-07-22,2013-09-08,45984.0,10,0,2013,7
HUMBOLDT,DANCE,2013-07-29,2013-08-02,577.0,3,0,2013,7
HUMBOLDT,DANCE,2013-07-29,2013-08-02,0.0,2,0,2013,8
SISKIYOU,FORKS COMPLEX,2013-07-31,2013-10-01,111738.0,1,0,2013,7
SISKIYOU,FORKS COMPLEX,2013-07-31,2013-10-01,0.0,1,0,2013,10
SISKIYOU,FORKS COMPLEX,2013-07-31,2013-10-01,0.0,30,0,2013,9
SISKIYOU,FORKS COMPLEX,2013-07-31,2013-10-01,0.0,31,0,2013,8
HUMBOLDT,CORRAL COMPLEX,2013-08-10,2013-10-02,0.0,30,0,2013,9
HUMBOLDT,CORRAL COMPLEX,2013-08-10,2013-10-02,0.0,2,0,2013,10
HUMBOLDT,CORRAL COMPLEX,2013-08-10,2013-10-02,25006.0,22,0,2013,8
TUOLUMNE,RIM,2013-08-17,2013-10-27,0.0,30,0,2013,9
TUOLUMNE,RIM,2013-08-17,2013-10-27,0.0,27,0,2013,10
TUOLUMNE,RIM,2013-08-17,2013-10-27,514628.0,15,0,2013,8
FRESNO,WINDY PEAK,2013-08-23,2013-10-20,1362.0,9,0,2013,8
FRESNO,WINDY PEAK,2013-08-23,2013-10-20,0.0,20,0,2013,10
FRESNO,WINDY PEAK,2013-08-23,2013-10-20,0.0,30,0,2013,9
TULARE,FISH,2013-08-23,2013-09-05,0.0,5,0,2013,9
TULARE,FISH,2013-08-23,2013-09-05,2060.0,9,0,2013,8
TULARE,SODA,2014-01-14,2014-04-19,0.0,31,0,2014,3
TULARE,SODA,2014-01-14,2014-04-19,0.0,28,0,2014,2
TULARE,SODA,2014-01-14,2014-04-19,4836.0,18,0,2014,1
TULARE,SODA,2014-01-14,2014-04-19,0.0,19,0,2014,4
SAN BERNARDINO,ETIWANDA,2014-04-30,2014-05-01,0.0,1,0,2014,5
SAN BERNARDINO,ETIWANDA,2014-04-30,2014-05-01,2200.0,1,0,2014,4
MARIPOSA,HUNTER,2014-05-26,2014-06-04,677.0,6,0,2014,5
