County,Fire Name,Start,Contained,Acres,Strux_Destr,Strux_Dmgd,Deaths_FF,Deaths_Civil,Duration
FRESNO,ELM 2,2017-05-18,2017-05-21,"10,000",0,0,0,0,4 days
SAN DIEGO,DELUZ,2017-05-19,2017-05-22,486,0,0,0,0,4 days
KERN,MING,2017-05-20,2017-05-22,506,0,0,0,0,3 days
SAN DIEGO,GATE,2017-05-20,2017-05-22,"2,056",0,0,0,0,3 days
MONTEREY,RANGE,2017-06-04,2017-06-11,"1,972",0,0,0,0,8 days
TULARE,DINELY,2017-06-07,2017-06-10,339,0,0,0,0,4 days
MADERA,OAKWOOD,2017-06-10,2017-06-13,"1,417",0,0,0,0,4 days
FRESNO,MONTEREY,2017-06-11,2017-06-11,450,0,0,0,0,1 days
LOS ANGELES,LAKE,2017-06-17,2017-06-23,850,0,2,0,0,7 days
KERN,HIGHWAY,2017-06-21,2017-06-25,"1,522",0,0,0,0,5 days
SAN BERNARDINO,HOLCOMB,2017-06-21,2017-06-29,"1,503",0,0,0,0,9 days
FRESNO,CREEK,2017-06-23,2017-06-27,357,4,0,0,0,5 days
TULARE,SCHAEFFER,2017-06-24,2017-08-05,"16,031",0,0,0,0,43 days
LOS ANGELES,PLACERITA,2017-06-25,2017-06-28,760,1,1,0,0,4 days
SAN LUIS OBISPO,HILL,2017-06-26,2017-06-28,"1,626",7,0,0,0,3 days
RIVERSIDE,MANZANITA,2017-06-26,2017-06-30,"6,309",0,0,0,0,5 days
SAN BERNARDINO,MART,2017-06-27,2017-07-01,670,0,0,0,0,5 days
MODOC,BATTLE,2017-06-28,2017-07-01,640,0,0,0,0,4 days
SAN DIEGO,CRISTIANITOS,2017-06-28,2017-07-01,761,0,0,0,0,4 days
MARIPOSA,BEN,2017-06-28,2017-07-06,558,0,0,0,0,9 days
KERN,TARINA,2017-06-30,2017-07-01,"1,200",0,0,0,0,2 days
FRESNO,DERRICK,2017-07-02,2017-07-05,"1,562",0,0,0,0,4 days
SISKIYOU,FAY,2017-07-05,2017-07-31,496,1,0,0,0,27 days
KERN,QUIAL COMPLEX,2017-07-06,2017-07-06,"1,626",0,0,0,0,1 days
YOLO,WINTER,2017-07-06,2017-07-14,"1,700",0,0,0,0,9 days
SAN LUIS OBISPO,ALAMO,2017-07-06,2017-07-18,"28,687",14,1,0,0,13 days
BUTTE,WALL,2017-07-07,2017-08-03,"6,033",91,10,0,0,28 days
MONTEREY,PARKFIELD,2017-07-08,2017-07-08,"1,816",0,1,0,0,1 days
SANTA BARBARA,WHITTIER,2017-07-08,2017-10-05,"18,430",40,7,0,0,90 days
SAN LUIS OBISPO,STONE,2017-07-09,2017-07-11,340,3,0,0,0,3 days
KINGS,GARZA,2017-07-09,2017-07-25,"48,660",1,0,0,0,17 days
NEVADA,FARAD,2017-07-10,2017-07-16,747,0,0,0,0,7 days
SAN DIEGO,JENNINGS 2,2017-07-11,2017-07-14,400,0,0,0,0,4 days
LASSEN,LONG VALLEY,2017-07-11,2017-07-25,"83,733",8,3,0,0,15 days
MODOC,DOBE,2017-07-13,2017-07-31,410,0,0,0,0,19 days
SAN BERNARDINO,BRIDGE 2,2017-07-14,2017-07-18,460,0,0,0,0,5 days
MENDOCINO,GRADE,2017-07-16,2017-07-18,900,1,0,0,0,3 days
MARIPOSA,DETWILER,2017-07-16,2017-08-31,"81,826",134,21,0,0,47 days
FRESNO,PARK,2017-07-17,2017-07-30,"1,649",0,0,0,0,14 days
KERN,HUDSON,2017-07-18,2017-07-18,"1,083",0,0,0,0,1 days
SISKIYOU,MARBLE,2017-07-19,2017-07-28,319,0,0,0,0,10 days
TULARE,ELEPHANT 2,2017-07-20,2017-07-21,416,0,0,0,0,2 days
