County,Fire Name,Start,Contained,Acres,Deaths_FF,Deaths_Civil,Duration,Strux_Destr,Strux_Dmgd,Year
SONOMA,Walker,2008-06-22,2008-06-29,15000,0,0,8,0,0,2008
TEHAMA,MILL COMPLEX,2008-06-22,2008-06-29,2100,0,0,8,0,0,2008
SHASTA,Venture,2008-06-22,2008-07-04,1912,0,0,13,0,0,2008
LASSEN,Popcorn,2008-06-22,2008-07-08,3000,0,0,17,0,0,2008
MENDOCINO,Orr Incident,2008-06-22,2008-07-10,3000,0,0,19,0,0,2008
MENDOCINO,Cliff Ridge B Lightning,2008-06-22,2008-07-12,999,0,0,21,0,0,2008
MENDOCINO,Shamrock East Lightning,2008-06-22,2008-07-12,469,0,0,21,0,0,2008
MENDOCINO,5-8 Cliff Lightning,2008-06-22,2008-07-13,1000,0,0,22,0,0,2008
SISKIYOU,"BEAR WALLOW COMPLEX
(KLAMATH THEATER)",2008-06-22,2008-09-30,192038,2,0,101,0,0,2008
MADERA,Oliver / MRP 588,2008-06-23,2008-07-06,2789,0,0,14,0,0,2008
LASSEN,Corral,2008-06-23,2008-07-07,12500,0,0,15,0,0,2008
TEHAMA,Mill Creek,2008-06-24,2008-07-01,13580,0,0,8,0,0,2008
MENDOCINO,Juan Creek Lightning,2008-06-27,2008-07-15,450,0,0,19,0,0,2008
KERN,PIUTE,2008-06-28,2008-07-25,37026,0,0,28,0,0,2008
MENDOCINO,Hardy,2008-06-30,2008-06-30,5581,0,0,1,0,0,2008
TULARE,Wiggle,2008-07-01,2008-07-02,450,0,0,2,0,0,2008
SANTA BARBARA,GAP,2008-07-01,2008-07-28,9443,0,0,28,0,0,2008
LASSEN,Dixie,2008-07-02,2008-07-04,350,0,0,3,0,0,2008
MENDOCINO,Orr Springs Rd Orr 3,2008-07-03,2008-07-03,3000,0,0,1,0,0,2008
MENDOCINO,Travis 3 Lightning,2008-07-04,2008-07-04,750,0,0,1,0,0,2008
MENDOCINO,Casoose Creek Lightning,2008-07-04,2008-07-04,550,0,0,1,0,0,2008
MENDOCINO,Butch Lightning,2008-07-04,2008-07-04,2800,0,0,1,0,0,2008
MENDOCINO,Albion Lightning,2008-07-04,2008-07-08,3000,0,0,5,0,0,2008
MENDOCINO,Horse Lightning,2008-07-04,2008-07-08,1000,0,0,5,0,0,2008
MENDOCINO,Lost Pipe Lightning,2008-07-04,2008-07-10,1200,0,0,7,0,0,2008
MENDOCINO,Burger Ck Lightning,2008-07-04,2008-07-12,528,0,0,9,0,0,2008
MENDOCINO,Orr Series Lightning,2008-07-04,2008-07-13,3000,0,0,10,0,0,2008
MENDOCINO,Jameson Lightning,2008-07-04,2008-07-13,925,0,0,10,0,0,2008
MENDOCINO,Montgomery Flat Lightning,2008-07-04,2008-07-15,3000,0,0,12,0,0,2008
MENDOCINO,Brushy Lightning,2008-07-04,2008-07-15,391,0,0,12,0,0,2008
MENDOCINO,Jack Smith Lightning,2008-07-04,2008-07-15,2000,0,0,12,0,0,2008
MENDOCINO,Low Gap 1 Lightning,2008-07-04,2008-07-15,1700,0,0,12,0,0,2008
MENDOCINO,Travis 1 Lightning,2008-07-05,2008-07-05,650,0,0,1,0,0,2008
MENDOCINO,Alder Creek Beach Rd Man,2008-07-07,2008-07-07,1000,0,0,1,0,0,2008
MADERA,Dino IC,2008-07-10,2008-07-11,800,0,0,2,0,0,2008
FRESNO,TEHIPITE,2008-07-19,2008-11-11,11596,0,0,116,0,0,2008
MADERA,Hwy 152,2008-07-21,2008-07-21,700,0,0,1,0,0,2008
MADERA,Telegraph,2008-07-25,2008-09-15,34091,0,0,53,0,0,2008
PLUMAS,RICH,2008-07-29,2008-08-10,6112,0,0,13,0,0,2008
MONO,SHERWIN,2008-08-03,2008-08-08,347,0,0,6,0,0,2008
BUTTE,Craig,2008-08-03,2008-08-11,2001,0,0,9,0,0,2008
SAN BENITO,Turkey,2008-08-07,2008-08-07,400,0,0,1,0,0,2008
BUTTE,Smokey,2008-08-13,2008-08-13,1324,0,0,1,0,0,2008
BUTTE,Rim,2008-08-13,2008-08-13,1651,0,0,1,0,0,2008
BUTTE,Empire,2008-08-13,2008-08-13,2000,0,0,1,0,0,2008
BUTTE,Camp,2008-08-13,2008-08-13,47647,0,0,1,0,0,2008
TULARE,Rodeo,2008-08-14,2008-08-14,500,0,0,1,0,0,2008
TULARE,Elk,2008-08-14,2008-08-15,600,0,0,2,0,0,2008
TULARE,Rodeo 2,2008-08-14,2008-08-15,500,0,0,2,0,0,2008
SISKIYOU,SLINKARD,2008-08-17,2008-08-21,374,0,0,5,0,0,2008
SISKIYOU,JACK,2008-08-17,2008-08-22,6900,0,0,6,0,0,2008
FRESNO,Avenal,2008-08-19,2008-08-20,946,0,0,2,0,0,2008
NEVADA,Gladding,2008-09-01,2008-09-03,1000,0,0,3,0,0,2008
SHASTA,ELMORE,2008-09-07,2008-09-09,343,0,0,3,0,0,2008
SHASTA,GULCH,2008-09-07,2008-09-11,2847,0,0,5,0,0,2008
HUMBOLDT,DEERHORN,2008-09-08,2008-09-14,381,0,0,7,0,0,2008
TULARE,HIDDEN,2008-09-10,2008-09-30,3668,0,0,21,0,0,2008
SAN DIEGO,ROBLAR,2008-09-25,2008-09-29,400,0,0,5,0,0,2008
MONTEREY,CHALK,2008-09-25,2008-10-29,16269,0,0,35,0,0,2008
TUOLUMNE,DOME ROCK,2008-09-30,2008-11-15,919,0,0,47,0,0,2008
SAN DIEGO,NOVEMBER,2008-10-08,2008-10-09,1400,0,0,2,0,0,2008
SONOMA,Deer Park,2008-10-10,2008-10-14,300,0,0,5,0,0,2008
MARIN,ANGEL,2008-10-12,2008-10-14,303,0,0,3,0,0,2008
LOS ANGELES,MAREK,2008-10-12,2008-10-16,4824,0,0,5,0,0,2008
SAN DIEGO,JULIETT,2008-10-13,2008-10-17,4026,0,0,5,0,0,2008
LOS ANGELES,SESNON,2008-10-13,2008-10-18,14703,0,0,6,0,0,2008
MARIPOSA,WAWONA NW,2008-10-14,2008-10-19,450,0,0,6,0,0,2008
SAN BERNARDINO,Foxborough,2008-10-22,2008-10-22,324,0,0,1,0,0,2008
BUTTE,Lackerman,2008-10-23,2008-10-23,1310,0,0,1,0,0,2008
BUTTE,Long,2008-10-23,2008-10-23,420,0,0,1,0,0,2008
SANTA BARBARA,TEA INCIDENT,2008-11-13,2008-11-17,1940,0,0,5,0,0,2008
LOS ANGELES,SAYRE,2008-11-14,2008-11-21,11262,0,0,8,0,0,2008
RIVERSIDE,Freeway,2008-11-15,2008-11-22,30305,0,0,8,0,0,2008
SAN BERNARDINO,Fort,2009-02-05,2009-02-07,945,0,0,3,0,0,2009
SANTA BARBARA,JESUSITA,2009-05-05,2009-05-20,8733,0,0,16,0,0,2009
STANISLAUS,Mustang,2009-05-13,2009-05-16,570,0,0,4,0,0,2009
RIVERSIDE,LOST HORSE,2009-05-24,2009-06-02,450,0,0,10,0,0,2009
RIVERSIDE,Oliver,2009-05-27,2009-05-27,500,0,0,1,0,0,2009
TULARE,TUU Lightning Complex,2009-05-28,2009-05-31,495,0,0,4,0,0,2009
MARIPOSA,GROUSE,2009-05-30,2009-08-12,3007,0,0,75,0,0,2009
TUOLUMNE,HARDEN,2009-06-08,2009-08-09,1654,0,0,63,0,0,2009
TULARE,SHOTGUN,2009-06-17,2009-07-11,900,0,0,25,0,0,2009
SAN JOAQUIN,Explosive,2009-06-19,2009-06-19,2163,0,0,1,0,0,2009
KERN,PARKWAY,2009-06-22,2009-06-22,690,0,0,1,0,0,2009
CALAVERAS,Rock,2009-06-28,2009-06-28,410,0,0,1,0,0,2009
YOLO,Rumsey,2009-06-29,2009-07-02,716,0,0,4,0,0,2009
TULARE,LION,2009-06-30,2009-08-21,2577,0,0,53,0,0,2009
TULARE,GRANITE,2009-06-30,2009-08-21,1417,0,0,53,0,0,2009
TRINITY,REDSPOT,2009-07-01,2009-07-24,1120,0,0,24,0,0,2009
TRINITY,BACKBONE,2009-07-07,2009-07-24,5065,1,0,18,0,0,2009
VENTURA,SULPHUR,2009-07-11,2009-07-13,343,0,0,3,0,0,2009
SAN DIEGO,YANKEE,2009-07-11,2009-07-14,2200,0,0,4,0,0,2009
LOS ANGELES,OSITO,2009-07-13,2009-07-15,304,0,0,3,0,0,2009
PLACER,Mammoth,2009-07-16,2009-07-18,650,0,0,3,0,0,2009
INYO,FORK,2009-07-18,2009-07-27,3268,0,0,10,0,0,2009
SISKIYOU,TENNANT,2009-07-19,2009-07-27,3226,0,0,9,0,0,2009
TUOLUMNE,KNIGHT,2009-07-26,2009-08-11,6130,0,0,17,0,0,2009
MADERA,Ash,2009-07-27,2009-07-29,300,0,0,3,0,0,2009
TUOLUMNE,WILDCAT,2009-07-29,2009-08-31,1255,0,0,34,0,0,2009
LASSEN,"DODGE COMPLEX
(SIX FIRES)",2009-08-01,2009-08-03,1600,0,0,3,0,0,2009
MONTEREY,PONDEROSA,2009-08-01,2009-08-07,458,0,0,7,0,0,2009
SHASTA,SUGAR LOAF,2009-08-01,2009-08-12,9356,0,0,12,0,0,2009
SHASTA,BROWN (H-31),2009-08-02,2009-08-12,1865,0,0,11,0,0,2009
SHASTA,Cassel (SHU Complex),2009-08-03,2009-08-14,6319,0,0,12,0,0,2009
SHASTA,Chalk (SHU Complex),2009-08-03,2009-08-16,6895,0,0,14,0,0,2009
SHASTA,One-Eleven (SHU Complex),2009-08-03,2009-08-17,50,0,0,15,0,0,2009
SHASTA,Goose (SHU Complex),2009-08-03,2009-08-17,3918,0,0,15,0,0,2009
