County,Fire Name,Start,Contained,Acres,Deaths_FF,Deaths_Civil,Duration,Strux_Destr,Strux_Dmgd
MONTEREY,STONY,2016-06-02,2016-06-17,"3,000",0,0,16,0,0
SAN LUIS OBISPO,SODA,2016-06-04,2016-06-06,"2,003",0,0,3,0,0
LOS ANGELES,OLD,2016-06-04,2016-06-10,465,0,0,7,9,1
MONTEREY,COLEMAN,2016-06-04,2016-06-17,"2,520",0,0,14,1,0
LOS ANGELES,FISH,2016-06-20,2016-07-05,"4,253",0,0,16,0,0
SACRAMENTO,RANCHO,2016-06-28,2016-06-30,372,0,0,3,0,0
VENTURA,PINE,2016-06-30,2016-07-17,"2,304",0,0,18,0,0
KERN,DEER,2016-07-01,2016-07-10,"1,785",0,0,10,0,0
SAN DIEGO,ROBLAR,2016-07-21,2016-07-27,"1,245",0,0,7,0,0
LOS ANGELES,SAND,2016-07-22,2016-08-06,"41,383",0,1,16,116,20
FRESNO,MINERAL,2016-08-08,2016-08-19,"7,050",0,0,12,2,0
INYO,HORSESHOE,2016-08-09,2016-08-17,369,0,0,9,0,0
SAN LUIS OBISPO,CHIMNEY,2016-08-13,2016-09-07,"46,235",0,0,26,70,8
YUBA,BEALE,2016-08-18,2016-08-19,389,0,0,2,0,0
SISKIYOU,GRADE,2016-08-24,2016-09-10,710,0,0,18,10,1
KERN,RANGE,2016-08-26,2016-08-31,600,0,0,6,0,0
SISKIYOU,GAP,2016-08-27,2016-09-16,"33,867",0,0,21,14,0
CALAVERAS,WILLOW,2016-08-28,2016-09-04,450,0,0,8,0,1
BUTTE,SADDLE,2016-09-05,2016-09-22,800,0,0,18,3,0
TEHAMA,HOG,2016-09-13,2016-09-13,321,0,0,1,0,0
FRESNO,CROWN,2016-09-15,2016-10-31,800,0,0,47,0,0
SANTA BARBARA,CANYON,2016-09-17,2016-09-24,"12,742",1,0,8,0,0
KERN,FLAT,2016-09-19,2016-09-22,307,0,0,4,0,0
TULARE,MEADOW,2016-10-29,2016-11-22,"4,347",0,0,25,0,0
TULARE,HIDDEN,2016-11-02,2016-11-23,"2,768",0,0,22,0,0
MODOC,WEST,2017-04-01,2017-04-01,401,0,0,1,0,0
FRESNO,EL DORADO,2017-04-28,2017-04-28,750,0,0,1,0,0
SAN DIEGO,DELUZ,2017-05-19,2017-05-22,486,0,0,4,0,0
MONTEREY,RANGE,2017-06-04,2017-06-11,"1,972",0,0,8,0,0
LOS ANGELES,LAKE,2017-06-17,2017-06-23,850,0,0,7,0,2
KERN,HIGHWAY,2017-06-21,2017-06-25,"1,522",0,0,5,0,0
FRESNO,CREEK,2017-06-23,2017-06-27,357,0,0,5,4,0
SAN LUIS OBISPO,HILL,2017-06-26,2017-06-28,"1,626",0,0,3,7,0
KERN,TARINA,2017-06-30,2017-07-01,"1,200",0,0,2,0,0
SAN LUIS OBISPO,STONE,2017-07-09,2017-07-11,340,0,0,3,3,0
TEHAMA,DALE,2017-06-24,2017-06-26,856,0,0,3,0,0
LASSEN,LONG VALLEY,2017-07-11,2017-07-25,"83,733",0,0,15,8,3
MENDOCINO,GRADE,2017-07-16,2017-07-18,900,0,0,3,1,0
FRESNO,PARK,2017-07-17,2017-07-30,"1,649",0,0,14,0,0
TULARE,ROADRUNNER,2017-07-30,2017-07-31,"2,289",0,0,2,0,0
MONO,GRANT,2017-07-31,2017-08-03,400,0,0,4,0,0
SAN LUIS OBISPO,RED,2017-08-02,2017-08-03,450,0,0,2,0,0
TULARE,INDIAN,2017-08-03,2017-08-29,"2,295",0,0,27,0,0
MADERA,BUTTE,2017-08-07,2017-08-17,635,0,0,11,0,0
YUBA,BEALE,2017-08-20,2017-08-20,950,0,0,1,0,0
