County,Fire Name,Start,Contained,Acres,Deaths_FF,Deaths_Civil,Duration,Strux_Destr,Strux_Dmgd
Mendocino,Montgomery Flat Lightning,2008-07-04,2008-07-15,3000,0,0,12,0,0
Mendocino,Brushy Lightning,2008-07-04,2008-07-15,391,0,0,12,0,0
Mendocino,Jack Smith Lightning,2008-07-04,2008-07-15,2000,0,0,12,0,0
Mendocino,Low Gap 1 Lightning,2008-07-04,2008-07-15,1700,0,0,12,0,0
Mendocino,Travis 1 Lightning,2008-07-05,2008-07-05,650,0,0,1,0,0
Mendocino,Alder Creek Beach Rd Man,2008-07-07,2008-07-07,1000,0,0,1,0,0
Madera,Dino IC,2008-07-10,2008-07-11,800,0,0,2,0,0
Fresno,TEHIPITE,2008-07-19,2008-11-11,11596,0,0,116,0,0
Madera,Hwy 152,2008-07-21,2008-07-21,700,0,0,1,0,0
Madera,Telegraph,2008-07-25,2008-09-15,34091,0,0,53,0,0
Plumas,RICH,2008-07-29,2008-08-10,6112,0,0,13,0,0
Mono,SHERWIN,2008-08-03,2008-08-08,347,0,0,6,0,0
Butte,Craig,2008-08-03,2008-08-11,2001,0,0,9,0,0
San Benito,Turkey,2008-08-07,2008-08-07,400,0,0,1,0,0
Butte,Smokey,2008-08-13,2008-08-13,1324,0,0,1,0,0
Butte,Rim,2008-08-13,2008-08-13,1651,0,0,1,0,0
Butte,Empire,2008-08-13,2008-08-13,2000,0,0,1,0,0
Butte,Camp,2008-08-13,2008-08-13,47647,0,0,1,0,0
Tulare,Rodeo,2008-08-14,2008-08-14,500,0,0,1,0,0
Tulare,Elk,2008-08-14,2008-08-15,600,0,0,2,0,0
Tulare,Rodeo 2,2008-08-14,2008-08-15,500,0,0,2,0,0
Siskiyou,SLINKARD,2008-08-17,2008-08-21,374,0,0,5,0,0
Siskiyou,JACK,2008-08-17,2008-08-22,6900,0,0,6,0,0
Fresno,Avenal,2008-08-19,2008-08-20,946,0,0,2,0,0
Nevada,Gladding,2008-09-01,2008-09-03,1000,0,0,3,0,0
Shasta,ELMORE,2008-09-07,2008-09-09,343,0,0,3,0,0
Shasta,GULCH,2008-09-07,2008-09-11,2847,0,0,5,0,0
Humboldt,DEERHORN,2008-09-08,2008-09-14,381,0,0,7,0,0
Tulare,HIDDEN,2008-09-10,2008-09-30,3668,0,0,21,0,0
San Diego,ROBLAR,2008-09-25,2008-09-29,400,0,0,5,0,0
Monterey,CHALK,2008-09-25,2008-10-29,16269,0,0,35,0,0
Tuolumne,DOME ROCK,2008-09-30,2008-11-15,919,0,0,47,0,0
San Diego,NOVEMBER,2008-10-08,2008-10-09,1400,0,0,2,0,0
Sonoma,Deer Park,2008-10-10,2008-10-14,300,0,0,5,0,0
Marin,ANGEL,2008-10-12,2008-10-14,303,0,0,3,0,0
Los Angeles,MAREK,2008-10-12,2008-10-16,4824,0,0,5,0,0
San Diego,JULIETT,2008-10-13,2008-10-17,4026,0,0,5,0,0
Los Angeles,SESNON,2008-10-13,2008-10-18,14703,0,0,6,0,0
Mariposa,WAWONA NW,2008-10-14,2008-10-19,450,0,0,6,0,0
San Bernardino,Foxborough,2008-10-22,2008-10-22,324,0,0,1,0,0
Butte,Lackerman,2008-10-23,2008-10-23,1310,0,0,1,0,0
Butte,Long,2008-10-23,2008-10-23,420,0,0,1,0,0
Santa Barbara,TEA INCIDENT,2008-11-13,2008-11-17,1940,0,0,5,0,0
Los Angeles,SAYRE,2008-11-14,2008-11-21,11262,0,0,8,0,0
Riverside,Freeway,2008-11-15,2008-11-22,30305,0,0,8,0,0
San Bernardino,Fort,2009-02-05,2009-02-07,945,0,0,3,0,0
Santa Barbara,JESUSITA,2009-05-05,2009-05-20,8733,0,0,16,0,0
Stanislaus,Mustang,2009-05-13,2009-05-16,570,0,0,4,0,0
Riverside,LOST HORSE,2009-05-24,2009-06-02,450,0,0,10,0,0
Riverside,Oliver,2009-05-27,2009-05-27,500,0,0,1,0,0
Tulare,TUU Lightning Complex,2009-05-28,2009-05-31,495,0,0,4,0,0
Mariposa,GROUSE,2009-05-30,2009-08-12,3007,0,0,75,0,0
Tuolumne,HARDEN,2009-06-08,2009-08-09,1654,0,0,63,0,0
Tulare,SHOTGUN,2009-06-17,2009-07-11,900,0,0,25,0,0
San Joaquin,Explosive,2009-06-19,2009-06-19,2163,0,0,1,0,0
Kern,PARKWAY,2009-06-22,2009-06-22,690,0,0,1,0,0
Calaveras,Rock,2009-06-28,2009-06-28,410,0,0,1,0,0
Yolo,Rumsey,2009-06-29,2009-07-02,716,0,0,4,0,0
Tulare,LION,2009-06-30,2009-08-21,2577,0,0,53,0,0
Tulare,GRANITE,2009-06-30,2009-08-21,1417,0,0,53,0,0
Trinity,REDSPOT,2009-07-01,2009-07-24,1120,0,0,24,0,0
Trinity,BACKBONE,2009-07-07,2009-07-24,5065,1,0,18,0,0
Ventura,SULPHUR,2009-07-11,2009-07-13,343,0,0,3,0,0
San Diego,YANKEE,2009-07-11,2009-07-14,2200,0,0,4,0,0
Los Angeles,OSITO,2009-07-13,2009-07-15,304,0,0,3,0,0
Placer,Mammoth,2009-07-16,2009-07-18,650,0,0,3,0,0
Inyo,FORK,2009-07-18,2009-07-27,3268,0,0,10,0,0
Siskiyou,TENNANT,2009-07-19,2009-07-27,3226,0,0,9,0,0
Tuolumne,KNIGHT,2009-07-26,2009-08-11,6130,0,0,17,0,0
Madera,Ash,2009-07-27,2009-07-29,300,0,0,3,0,0
Tuolumne,WILDCAT,2009-07-29,2009-08-31,1255,0,0,34,0,0
Lassen,"DODGE COMPLEX
(SIX FIRES)",2009-08-01,2009-08-03,1600,0,0,3,0,0
Monterey,PONDEROSA,2009-08-01,2009-08-07,458,0,0,7,0,0
Shasta,SUGAR LOAF,2009-08-01,2009-08-12,9356,0,0,12,0,0
Shasta,BROWN (H-31),2009-08-02,2009-08-12,1865,0,0,11,0,0
Shasta,Cassel (SHU Complex),2009-08-03,2009-08-14,6319,0,0,12,0,0
Shasta,Chalk (SHU Complex),2009-08-03,2009-08-16,6895,0,0,14,0,0
Shasta,One-Eleven (SHU Complex),2009-08-03,2009-08-17,50,0,0,15,0,0
Shasta,Goose (SHU Complex),2009-08-03,2009-08-17,3918,0,0,15,0,0
Shasta,Gomez (SHU Complex),2009-08-03,2009-08-17,404,0,0,15,0,0
Shasta,FAIRFIELD,2009-08-03,2009-09-30,1664,0,0,59,0,0
Santa Barbara,LA BREA,2009-08-08,2009-08-23,91622,0,0,16,0,0
Trinity,Coffin,2009-08-12,2009-08-15,1300,0,0,4,0,0
Santa Cruz,Lockheed,2009-08-12,2009-08-23,7817,0,0,12,0,0
San Joaquin,Corral,2009-08-13,2009-08-16,12200,0,0,4,0,0
Yuba,Yuba,2009-08-14,2009-08-24,3891,0,0,11,0,0
Plumas,ELEPHANT,2009-08-16,2009-08-31,445,0,0,16,0,0
Siskiyou,RED ROCK,2009-08-21,2009-09-05,1364,0,0,16,0,0
Los Angeles,MORRIS,2009-08-25,2009-09-03,2163,0,0,10,0,0
Monterey,Bryson,2009-08-26,2009-08-29,3383,0,0,4,0,0
San Diego,RIDGE,2009-08-26,2009-08-29,500,0,0,4,0,0
Mariposa,BIG MEADOWS,2009-08-26,2009-09-07,7425,0,0,13,0,0
Los Angeles,STATION,2009-08-26,2009-10-16,160577,2,0,52,0,0
Lassen,Day,2009-08-27,2009-08-30,853,0,0,4,0,0
Riverside,COTTONWOOD,2009-08-27,2009-08-31,2409,0,0,5,0,0
Monterey,Gloria,2009-08-27,2009-09-01,6437,0,0,6,0,0
