County,Fire Name,Start,Contained,Acres,Strux_Destr,Strux_Dmgd,Deaths_FF,Deaths_Civil,Duration,Duration_Days
Yuba,BEALE,8/18/2016,8/19/2016,389,0,0,0,0,2 days,2
Santa Barbara,REY,8/18/2016,9/15/2016,32606,5,0,0,0,29 days,29
Alpine,MOKELUMNE,8/19/2016,9/20/2016,655,0,0,0,0,33 days,33
Tulare,TULE,8/22/2016,8/22/2016,395,0,0,0,0,1 days,1
Humboldt,TULLY,8/22/2016,9/9/2016,599,3,0,0,0,19 days,19
Siskiyou,GRADE,8/24/2016,9/10/2016,710,10,1,0,0,18 days,18
Kern,RANGE,8/26/2016,8/31/2016,600,0,0,0,0,6 days,6
Kern,HAVILA,8/27/2016,8/31/2016,304,0,0,0,0,5 days,5
Siskiyou,GAP,8/27/2016,9/16/2016,33867,14,0,0,0,21 days,21
Calaveras,WILLOW,8/28/2016,9/4/2016,450,0,1,0,0,8 days,8
Riverside,BOGART,8/30/2016,9/5/2016,1470,1,0,0,0,7 days,7
Butte,SADDLE,9/5/2016,9/22/2016,800,3,0,0,0,18 days,18
Modoc,HOWARD,9/11/2016,9/15/2016,380,0,0,0,0,5 days,5
Lassen,WILLARD,9/11/2016,10/12/2016,2575,7,0,0,0,32 days,32
Tehama,HOG,9/13/2016,9/13/2016,321,0,0,0,0,1 days,1
Fresno,CROWN,9/15/2016,10/31/2016,800,0,0,0,0,47 days,47
Santa Barbara,CANYON,9/17/2016,9/24/2016,12742,0,0,1,0,8 days,8
Mono,OWENS RIVER,9/17/2016,10/15/2016,5443,4,0,0,0,29 days,29
Modoc,SOUP COMPLEX,9/17/2016,10/31/2016,2722,0,0,0,0,45 days,45
Kern,FLAT,9/19/2016,9/22/2016,307,0,0,0,0,4 days,4
Sonoma,SAWMILL,9/25/2016,10/1/2016,1547,0,0,0,0,7 days,7
Tuolumne,MARSHES,9/26/2016,10/4/2016,1080,0,0,0,0,9 days,9
Santa Clara,LOMA,9/26/2016,11/8/2016,4474,28,1,0,0,44 days,44
Tulare,SLATE,10/4/2016,11/5/2016,2160,0,0,0,0,33 days,33
Fresno,SACATA,10/11/2016,10/19/2016,2100,0,0,0,0,9 days,9
Tulare,JACOBSON,10/20/2016,11/1/2016,1702,0,0,0,0,13 days,13
Tulare,MEADOW,10/29/2016,11/22/2016,4347,0,0,0,0,25 days,25
Tulare,HIDDEN,11/2/2016,11/23/2016,2768,0,0,0,0,22 days,22
Modoc,WEST,4/1/2017,4/1/2017,401,0,0,0,0,1 days,1
Fresno,JAYNE,4/20/2017,4/21/2017,4532,0,0,0,0,2 days,2
Fresno,EL DORADO,4/28/2017,4/28/2017,750,0,0,0,0,1 days,1
Riverside,OPERA,4/30/2017,5/2/2017,1350,0,0,0,0,3 days,3
Merced,WRIGHT,5/12/2017,5/13/2017,1733,0,0,0,0,2 days,2
Fresno,ELM 2,5/18/2017,5/21/2017,10000,0,0,0,0,4 days,4
San Diego,DELUZ,5/19/2017,5/22/2017,486,0,0,0,0,4 days,4
Kern,MING,5/20/2017,5/22/2017,506,0,0,0,0,3 days,3
San Diego,GATE,5/20/2017,5/22/2017,2056,0,0,0,0,3 days,3
Monterey,RANGE,6/4/2017,6/11/2017,1972,0,0,0,0,8 days,8
